Ticker,Name,Price,Signal
A,"Agilent Technologies, Inc.",115.55,NONE
AAPL,Apple Inc.,271.35,NONE
ABBV,AbbVie Inc.,211.32,NONE
ABNB,"Airbnb, Inc.",140.36,NONE
ABT,Abbott Laboratories,90.79,NONE
ACGL,Arch Capital Group Ltd.,94.46,NONE
ACN,Accenture plc,178.71,NONE
ADBE,Adobe Inc.,246.1,NONE
ADI,"Analog Devices, Inc.",402.26,NONE
ADM,Archer-Daniels-Midland Company,74.54,NONE
ADP,"Automatic Data Processing, Inc.",211.94,NONE
ADSK,"Autodesk, Inc.",237.0,NONE
AEE,Ameren Corporation,113.65,NONE
AEP,American Electric Power Company,137.11,NONE
AES,The AES Corporation,14.45,NONE
AFL,AFLAC Incorporated,113.67,NONE
AIG,"American International Group, I",74.8,NONE
AIZ,"Assurant, Inc.",236.27,NONE
AJG,Arthur J. Gallagher & Co.,206.4,NONE
AKAM,"Akamai Technologies, Inc.",102.98,NONE
ALB,Albemarle Corporation,196.7,BUY
ALGN,"Align Technology, Inc.",176.01,NONE
ALL,Allstate Corporation (The),217.26,NONE
ALLE,Allegion plc,137.48,NONE
AMAT,"Applied Materials, Inc.",394.49,NONE
AMCR,Amcor plc,38.04,NONE
AMD,"Advanced Micro Devices, Inc.",354.49,NONE
AME,"AMETEK, Inc.",235.5,NONE
AMGN,Amgen Inc.,346.25,NONE
AMP,"Ameriprise Financial, Inc.",474.79,NONE
AMT,American Tower Corporation (REI,182.71,NONE
AMZN,"Amazon.com, Inc.",265.06,NONE
ANET,"Arista Networks, Inc.",172.71,NONE
AON,Aon plc,311.65,NONE
AOS,A.O. Smith Corporation,61.84,NONE
APA,APA Corporation,40.73,NONE
APD,"Air Products and Chemicals, Inc",300.05,NONE
APH,Amphenol Corporation,147.27,NONE
APTV,Aptiv PLC,60.26,NONE
ARE,Alexandria Real Estate Equities,40.51,NONE
ATO,Atmos Energy Corporation,189.98,NONE
AVB,"AvalonBay Communities, Inc.",183.0,NONE
AVGO,Broadcom Inc.,417.43,NONE
AVY,Avery Dennison Corporation,163.93,NONE
AWK,"American Water Works Company, I",128.42,NONE
AXON,"Axon Enterprise, Inc.",401.76,NONE
AXP,American Express Company,323.05,NONE
AZO,"AutoZone, Inc.",3704.03,NONE
BA,Boeing Company (The),229.03,NONE
BAC,Bank of America Corporation,53.46,NONE
BALL,Ball Corporation,61.08,NONE
BAX,Baxter International Inc.,17.58,NONE
BBWI,"Bath & Body Works, Inc.",19.44,NONE
BBY,"Best Buy Co., Inc.",60.49,NONE
BDX,"Becton, Dickinson and Company",149.04,NONE
BEN,"Franklin Resources, Inc.",29.97,NONE
BG,Bunge Limited,127.07,NONE
BIIB,Biogen Inc.,189.28,NONE
BIO,"Bio-Rad Laboratories, Inc.",280.12,NONE
BK,The Bank of New York Mellon Cor,134.37,NONE
BKNG,Booking Holdings Inc. Common St,168.36,NONE
BKR,Baker Hughes Company,69.67,NONE
BLK,"BlackRock, Inc.",1065.6,SELL
BMY,Bristol-Myers Squibb Company,60.59,NONE
BR,"Broadridge Financial Solutions,",153.98,NONE
BRO,"Brown & Brown, Inc.",60.15,NONE
BSX,Boston Scientific Corporation,57.61,NONE
BWA,BorgWarner Inc.,56.97,NONE
BX,Blackstone Inc.,125.58,NONE
BXP,"BXP, Inc.",58.46,NONE
C,"Citigroup, Inc.",127.98,NONE
CAG,"ConAgra Brands, Inc.",14.35,NONE
CAH,"Cardinal Health, Inc.",192.88,NONE
CARR,Carrier Global Corporation,67.17,NONE
CAT,"Caterpillar, Inc.",890.11,NONE
CBOE,"Cboe Global Markets, Inc.",300.09,NONE
CBRE,CBRE Group Inc,142.73,NONE
CCI,Crown Castle Inc.,88.78,NONE
CCL,Carnival Corporation,26.51,NONE
CDNS,"Cadence Design Systems, Inc.",329.59,NONE
CDW,CDW Corporation,136.91,NONE
CE,Celanese Corporation,67.76,NONE
CEG,Constellation Energy Corporatio,313.0,NONE
CF,"CF Industries Holdings, Inc.",124.2,NONE
CFG,"Citizens Financial Group, Inc.",65.05,NONE
CHD,"Church & Dwight Company, Inc.",97.06,NONE
CHRW,"C.H. Robinson Worldwide, Inc.",181.81,NONE
CI,The Cigna Group,290.58,NONE
CINF,Cincinnati Financial Corporatio,163.6,NONE
CL,Colgate-Palmolive Company,85.36,NONE
CLX,Clorox Company (The),96.44,NONE
CMCSA,Comcast Corporation,27.04,NONE
CME,CME Group Inc.,287.82,NONE
CMI,Cummins Inc.,671.01,NONE
CMS,CMS Energy Corporation,76.74,NONE
CNC,Centene Corporation,53.69,NONE
CNP,"CenterPoint Energy, Inc (Holdin",43.65,NONE
COF,Capital One Financial Corporati,191.3,NONE
COO,"The Cooper Companies, Inc.",62.9,NONE
COP,ConocoPhillips,125.78,NONE
COR,"Cencora, Inc.",308.01,NONE
COST,Costco Wholesale Corporation,1014.53,NONE
CPB,The Campbell's Company,20.79,NONE
CPRT,"Copart, Inc.",33.11,NONE
CPT,Camden Property Trust,105.02,NONE
CRL,Charles River Laboratories Inte,166.97,NONE
CRM,"Salesforce, Inc.",176.53,NONE
CRWD,"CrowdStrike Holdings, Inc.",445.75,NONE
CSCO,"Cisco Systems, Inc.",91.5,NONE
CSGP,"CoStar Group, Inc.",34.61,NONE
CSX,CSX Corporation,45.43,NONE
CTAS,Cintas Corporation,174.71,NONE
CTRA,Coterra Energy Inc.,35.91,NONE
CTSH,Cognizant Technology Solutions ,52.9,NONE
CTVA,"Corteva, Inc.",81.01,NONE
CVS,CVS Health Corporation,83.29,NONE
CZR,"Caesars Entertainment, Inc.",27.8,NONE
D,"Dominion Energy, Inc.",64.5,NONE
DAL,"Delta Air Lines, Inc.",67.99,NONE
DD,"DuPont de Nemours, Inc.",45.66,NONE
DE,Deere & Company,589.87,NONE
DG,Dollar General Corporation,115.88,NONE
DGX,Quest Diagnostics Incorporated,194.2,NONE
DHR,Danaher Corporation,178.95,NONE
DIS,Walt Disney Company (The),103.75,NONE
DLR,"Digital Realty Trust, Inc.",200.94,NONE
DLTR,"Dollar Tree, Inc.",97.11,NONE
DOV,Dover Corporation,226.41,NONE
DOW,Dow Inc.,40.49,NONE
DPZ,Domino's Pizza Inc,339.42,NONE
DRI,"Darden Restaurants, Inc.",200.56,BUY
DTE,DTE Energy Company,151.69,NONE
DUK,Duke Energy Corporation (Holdin,129.55,NONE
DVA,DaVita Inc.,155.14,NONE
DVN,Devon Energy Corporation,51.37,NONE
DXCM,"DexCom, Inc.",59.55,NONE
EA,Electronic Arts Inc.,202.37,NONE
EBAY,eBay Inc.,103.48,NONE
ECL,Ecolab Inc.,260.6,NONE
ED,"Consolidated Edison, Inc.",111.49,NONE
EFX,"Equifax, Inc.",173.94,NONE
EIX,Edison International,69.49,NONE
EL,"Estee Lauder Companies, Inc. (T",76.71,BUY
ELV,"Elevance Health, Inc.",376.42,NONE
EMN,Eastman Chemical Company,73.09,NONE
EMR,Emerson Electric Company,140.44,NONE
ENPH,"Enphase Energy, Inc.",32.96,NONE
EOG,"EOG Resources, Inc.",140.57,NONE
EPAM,"EPAM Systems, Inc.",113.78,NONE
EQIX,"Equinix, Inc.",1082.83,NONE
EQR,Equity Residential,65.38,NONE
EQT,EQT Corporation,60.08,NONE
ES,Eversource Energy (D/B/A),70.7,NONE
ESS,"Essex Property Trust, Inc.",263.21,NONE
ETN,"Eaton Corporation, PLC",433.01,NONE
ETR,Entergy Corporation,117.91,NONE
ETSY,"Etsy, Inc.",64.34,NONE
EVRG,"Evergy, Inc.",82.84,NONE
EW,Edwards Lifesciences Corporatio,83.5,NONE
EXC,Exelon Corporation,45.99,NONE
EXPD,Expeditors International of Was,147.89,NONE
EXPE,"Expedia Group, Inc.",248.37,NONE
EXR,Extra Space Storage Inc,143.33,NONE
F,Ford Motor Company,12.08,NONE
FANG,"Diamondback Energy, Inc.",205.63,NONE
FAST,Fastenal Company,44.93,NONE
FCX,"Freeport-McMoRan, Inc.",57.78,NONE
FDS,FactSet Research Systems Inc.,227.58,NONE
FDX,FedEx Corporation,403.31,NONE
FE,FirstEnergy Corp.,47.52,NONE
FFIV,"F5, Inc.",323.9,NONE
FICO,Fair Isaac Corporation,1025.0,NONE
FITB,Fifth Third Bancorp,50.76,NONE
FMC,FMC Corporation,15.38,NONE
FOX,Fox Corporation,57.02,NONE
FOXA,Fox Corporation,63.49,NONE
FRT,Federal Realty Investment Trust,110.9,NONE
FSLR,"First Solar, Inc.",201.89,NONE
FTNT,"Fortinet, Inc.",84.31,NONE
FTV,Fortive Corporation,59.79,NONE
GD,General Dynamics Corporation,344.3,NONE
GE,GE Aerospace,289.93,NONE
GEHC,GE HealthCare Technologies Inc.,60.84,NONE
GEN,Gen Digital Inc.,19.29,NONE
GILD,"Gilead Sciences, Inc.",130.84,NONE
GIS,"General Mills, Inc.",35.31,NONE
GL,Globe Life Inc.,154.3,NONE
GLW,Corning Incorporated,164.24,NONE
GM,General Motors Company,76.89,NONE
GNRC,Generac Holdlings Inc.,259.23,NONE
GOOG,Alphabet Inc.,381.94,NONE
GOOGL,Alphabet Inc.,384.8,NONE
GPC,Genuine Parts Company,107.23,NONE
GPN,Global Payments Inc.,71.96,NONE
GRMN,Garmin Ltd.,251.14,NONE
GS,"Goldman Sachs Group, Inc. (The)",923.77,NONE
GWW,"W.W. Grainger, Inc.",1161.35,NONE
HAL,Halliburton Company,42.3,NONE
HAS,"Hasbro, Inc.",95.84,NONE
HBAN,Huntington Bancshares Incorpora,16.76,NONE
HCA,"HCA Healthcare, Inc.",434.45,NONE
HD,"Home Depot, Inc. (The)",328.8,NONE
HIG,"The Hartford Insurance Group, I",136.81,NONE
HII,"Huntington Ingalls Industries, ",364.29,NONE
HLT,Hilton Worldwide Holdings Inc.,324.07,NONE
HOLX,"Hologic, Inc.",76.01,NONE
HON,Honeywell International Inc.,214.33,NONE
HPE,Hewlett Packard Enterprise Comp,28.77,NONE
HPQ,HP Inc.,20.86,NONE
HRL,Hormel Foods Corporation,21.47,NONE
HSIC,"Henry Schein, Inc.",74.59,NONE
HST,"Host Hotels & Resorts, Inc.",21.13,NONE
HSY,The Hershey Company,185.74,NONE
HUBB,Hubbell Inc,508.17,NONE
HUM,Humana Inc.,236.44,NONE
HWM,Howmet Aerospace Inc.,243.04,NONE
IBM,International Business Machines,230.98,NONE
ICE,Intercontinental Exchange Inc.,158.09,NONE
IDXX,"IDEXX Laboratories, Inc.",560.8,NONE
IEX,IDEX Corporation,217.85,NONE
IFF,International Flavors & Fragran,70.2,NONE
ILMN,"Illumina, Inc.",126.74,NONE
INCY,Incyte Corporation,95.27,NONE
INTC,Intel Corporation,94.48,NONE
INTU,Intuit Inc.,388.5,NONE
INVH,Invitation Homes Inc.,28.77,NONE
IP,International Paper Company,30.42,NONE
IQV,"IQVIA Holdings, Inc.",158.37,NONE
IR,Ingersoll Rand Inc.,79.86,NONE
IRM,Iron Mountain Incorporated (Del,125.99,NONE
ISRG,"Intuitive Surgical, Inc.",457.61,NONE
IT,"Gartner, Inc.",148.49,NONE
ITW,Illinois Tool Works Inc.,258.01,NONE
IVZ,Invesco Ltd,26.21,NONE
J,Jacobs Solutions Inc.,129.41,NONE
JBHT,"J.B. Hunt Transport Services, I",251.53,NONE
JCI,Johnson Controls International ,146.03,NONE
JKHY,"Jack Henry & Associates, Inc.",153.75,NONE
JNJ,Johnson & Johnson,229.85,NONE
JPM,JP Morgan Chase & Co.,313.23,NONE
KDP,Keurig Dr Pepper Inc.,29.4,NONE
KEY,KeyCorp,22.11,NONE
KEYS,Keysight Technologies Inc.,349.91,NONE
KHC,The Kraft Heinz Company,22.66,NONE
KIM,Kimco Realty Corporation (HC),23.64,NONE
KLAC,KLA Corporation,1750.35,NONE
KMB,Kimberly-Clark Corporation,98.43,NONE
KMI,"Kinder Morgan, Inc.",32.87,NONE
KMX,CarMax Inc,39.31,NONE
KO,Coca-Cola Company (The),78.76,NONE
KR,Kroger Company (The),68.07,NONE
KVUE,Kenvue Inc.,17.53,NONE
L,Loews Corporation,112.61,SELL
LDOS,"Leidos Holdings, Inc.",149.22,NONE
LEN,Lennar Corporation,90.3,NONE
LH,Labcorp Holdings Inc.,256.8,NONE
LHX,"L3Harris Technologies, Inc.",320.55,NONE
LIN,Linde plc,501.14,NONE
LKQ,LKQ Corporation,31.58,SELL
LLY,Eli Lilly and Company,934.6,NONE
LMT,Lockheed Martin Corporation,517.97,NONE
LNT,Alliant Energy Corporation,73.43,NONE
LOW,"Lowe's Companies, Inc.",238.79,NONE
LRCX,Lam Research Corporation,257.86,NONE
LULU,lululemon athletica inc.,137.7,NONE
LUV,Southwest Airlines Company,37.92,NONE
LVS,Las Vegas Sands Corp.,54.61,NONE
LW,"Lamb Weston Holdings, Inc.",43.55,NONE
LYB,LyondellBasell Industries NV,74.6,NONE
LYV,"Live Nation Entertainment, Inc.",157.94,NONE
MA,Mastercard Incorporated,502.92,BUY
MAA,Mid-America Apartment Communiti,129.18,NONE
MAR,Marriott International,361.69,NONE
MAS,Masco Corporation,71.82,NONE
MCD,McDonald's Corporation,293.59,NONE
MCHP,Microchip Technology Incorporat,92.91,NONE
MCK,McKesson Corporation,815.2,NONE
MCO,Moody's Corporation,461.85,NONE
MDLZ,"Mondelez International, Inc.",61.44,NONE
MDT,Medtronic plc.,80.97,NONE
MET,"MetLife, Inc.",80.1,NONE
META,"Meta Platforms, Inc.",611.91,NONE
MGM,MGM Resorts International,38.94,NONE
MHK,"Mohawk Industries, Inc.",105.56,NONE
MKC,"McCormick & Company, Incorporat",50.84,NONE
MKTX,"MarketAxess Holdings, Inc.",157.19,NONE
MLM,"Martin Marietta Materials, Inc.",619.07,NONE
MMM,3M Company,146.52,NONE
MNST,Monster Beverage Corporation,77.07,NONE
MO,"Altria Group, Inc.",72.65,NONE
MOS,Mosaic Company (The),23.27,NONE
MPC,Marathon Petroleum Corporation,248.29,NONE
MPWR,"Monolithic Power Systems, Inc.",1614.41,NONE
MRK,"Merck & Company, Inc.",109.18,NONE
MRNA,"Moderna, Inc.",45.94,NONE
MS,Morgan Stanley,190.59,NONE
MSCI,MSCI Inc.,591.41,NONE
MSFT,Microsoft Corporation,407.78,NONE
MSI,"Motorola Solutions, Inc.",439.03,NONE
MTB,M&T Bank Corporation,218.63,NONE
MTCH,"Match Group, Inc.",37.42,NONE
MTD,"Mettler-Toledo International, I",1276.61,NONE
MU,"Micron Technology, Inc.",517.16,NONE
NCLH,Norwegian Cruise Line Holdings ,18.18,NONE
NDAQ,"Nasdaq, Inc.",91.91,NONE
NDSN,Nordson Corporation,288.45,NONE
NEE,"NextEra Energy, Inc.",97.88,NONE
NEM,Newmont Corporation,111.09,NONE
NFLX,"Netflix, Inc.",93.61,NONE
NI,NiSource Inc,48.28,NONE
NKE,"Nike, Inc.",44.36,NONE
NOC,Northrop Grumman Corporation,579.48,NONE
NOW,"ServiceNow, Inc.",88.31,NONE
NRG,"NRG Energy, Inc.",155.58,NONE
NSC,Norfolk Southern Corporation,315.83,NONE
NTAP,"NetApp, Inc.",110.77,NONE
NTRS,Northern Trust Corporation,166.34,NONE
NUE,Nucor Corporation,225.29,NONE
NVDA,NVIDIA Corporation,199.57,NONE
NVR,"NVR, Inc.",6315.87,NONE
NWS,News Corporation,30.48,NONE
NWSA,News Corporation,26.32,NONE
NXPI,NXP Semiconductors N.V.,293.59,NONE
O,Realty Income Corporation,64.24,NONE
ODFL,"Old Dominion Freight Line, Inc.",212.43,NONE
OKE,"ONEOK, Inc.",92.46,NONE
OMC,Omnicom Group Inc.,76.72,NONE
ON,ON Semiconductor Corporation,100.81,NONE
ORCL,Oracle Corporation,161.39,NONE
ORLY,"O'Reilly Automotive, Inc.",99.4,NONE
OTIS,Otis Worldwide Corporation,77.88,NONE
OXY,Occidental Petroleum Corporatio,60.58,NONE
PANW,"Palo Alto Networks, Inc.",179.32,NONE
PAYC,"Paycom Software, Inc.",126.76,NONE
PAYX,"Paychex, Inc.",92.63,NONE
PCAR,PACCAR Inc.,118.8,NONE
PCG,Pacific Gas & Electric Co.,16.62,NONE
PDD,PDD Holdings Inc.,99.88,NONE
PEG,Public Service Enterprise Group,81.66,NONE
PEP,"Pepsico, Inc.",158.49,NONE
PFE,"Pfizer, Inc.",26.7,NONE
PFG,Principal Financial Group Inc,100.91,NONE
PG,Procter & Gamble Company (The),147.09,NONE
PGR,Progressive Corporation (The),201.28,NONE
PH,Parker-Hannifin Corporation,909.42,NONE
PHM,"PulteGroup, Inc.",122.36,NONE
PKG,Packaging Corporation of Americ,213.45,NONE
PLD,"Prologis, Inc.",142.02,NONE
PM,Philip Morris International Inc,165.07,NONE
PNC,"PNC Financial Services Group, I",223.0,NONE
PNR,Pentair plc.,80.71,NONE
PNW,Pinnacle West Capital Corporati,103.72,NONE
PODD,Insulet Corporation,172.14,NONE
POOL,Pool Corporation,213.32,NONE
PPG,"PPG Industries, Inc.",108.5,NONE
PPL,PPL Corporation,37.44,NONE
PRU,"Prudential Financial, Inc.",98.11,NONE
PSA,Public Storage,302.45,NONE
PSX,Phillips 66,179.15,NONE
PTC,PTC Inc.,136.3,NONE
PVH,PVH Corp.,91.44,NONE
PWR,"Quanta Services, Inc.",727.77,NONE
PYPL,"PayPal Holdings, Inc.",50.14,NONE
QCOM,QUALCOMM Incorporated,179.58,NONE
QRVO,"Qorvo, Inc.",94.22,NONE
RCL,Royal Caribbean Cruises Ltd.,263.76,NONE
REG,Regency Centers Corporation,77.85,NONE
REGN,"Regeneron Pharmaceuticals, Inc.",707.06,NONE
RF,Regions Financial Corporation,28.55,NONE
RHI,Robert Half Inc.,26.61,NONE
RJF,"Raymond James Financial, Inc.",158.32,NONE
RL,Ralph Lauren Corporation,358.64,NONE
RMD,ResMed Inc.,213.81,NONE
ROK,"Rockwell Automation, Inc.",408.91,NONE
ROL,"Rollins, Inc.",55.73,NONE
ROP,"Roper Technologies, Inc.",354.81,NONE
ROST,"Ross Stores, Inc.",227.79,NONE
RSG,"Republic Services, Inc.",209.22,NONE
RTX,RTX Corporation,176.07,NONE
SBAC,SBA Communications Corporation,221.2,NONE
SBUX,Starbucks Corporation,105.33,NONE
SCHW,Charles Schwab Corporation (The,91.64,NONE
SEDG,"SolarEdge Technologies, Inc.",42.86,NONE
SEE,Sealed Air Corporation,42.15,NONE
SHW,Sherwin-Williams Company (The),321.61,NONE
SJM,The J.M. Smucker Company,98.03,NONE
SLB,SLB Limited,56.88,NONE
SNA,Snap-On Incorporated,383.4,NONE
SNPS,"Synopsys, Inc.",482.6,NONE
SO,Southern Company (The),96.7,NONE
SPG,"Simon Property Group, Inc.",203.71,NONE
SPGI,S&P Global Inc.,431.23,NONE
SRE,DBA Sempra,95.12,NONE
STE,STERIS plc (Ireland),216.88,NONE
STT,State Street Corporation,152.84,NONE
STX,Seagate Technology Holdings PLC,673.64,NONE
STZ,"Constellation Brands, Inc.",156.58,NONE
SWK,"Stanley Black & Decker, Inc.",78.16,NONE
SWKS,"Skyworks Solutions, Inc.",70.17,NONE
SYK,Stryker Corporation,315.13,NONE
SYY,Sysco Corporation,74.71,NONE
T,AT&T Inc.,26.13,NONE
TAP,Molson Coors Beverage Company,42.74,NONE
TDG,Transdigm Group Incorporated,1159.98,NONE
TDY,Teledyne Technologies Incorpora,645.85,NONE
TEAM,Atlassian Corporation,68.59,NONE
TECH,Bio-Techne Corp,55.32,NONE
TEL,TE Connectivity plc,211.66,NONE
TER,"Teradyne, Inc.",343.47,NONE
TFC,Truist Financial Corporation,51.5,SELL
TFX,Teleflex Incorporated,123.91,NONE
TGT,Target Corporation,129.75,NONE
TJX,"TJX Companies, Inc. (The)",156.75,NONE
TMO,Thermo Fisher Scientific Inc,478.96,NONE
TMUS,"T-Mobile US, Inc.",195.5,NONE
TPR,"Tapestry, Inc.",145.04,NONE
TRGP,"Targa Resources, Inc.",260.08,NONE
TRMB,Trimble Inc.,67.32,NONE
TROW,"T. Rowe Price Group, Inc.",102.88,NONE
TRV,"The Travelers Companies, Inc.",305.14,NONE
TSCO,Tractor Supply Company,35.1,NONE
TSLA,"Tesla, Inc.",381.63,NONE
TSN,"Tyson Foods, Inc.",64.07,NONE
TT,Trane Technologies plc,492.54,NONE
TTWO,"Take-Two Interactive Software, ",213.76,NONE
TXN,Texas Instruments Incorporated,281.08,NONE
TXT,Textron Inc.,95.96,NONE
TYL,"Tyler Technologies, Inc.",341.14,NONE
UAL,"United Airlines Holdings, Inc.",90.0,NONE
UDR,"UDR, Inc.",36.34,NONE
UHS,"Universal Health Services, Inc.",168.27,NONE
ULTA,"Ulta Beauty, Inc.",537.48,NONE
UNH,UnitedHealth Group Incorporated,370.48,NONE
UNP,Union Pacific Corporation,269.48,NONE
UPS,"United Parcel Service, Inc.",108.8,SELL
URI,"United Rentals, Inc.",959.84,NONE
USB,U.S. Bancorp,56.66,NONE
V,Visa Inc.,329.84,NONE
VICI,VICI Properties Inc.,29.2,NONE
VLO,Valero Energy Corporation,252.58,NONE
VMC,Vulcan Materials Company (Holdi,301.74,NONE
VRSK,"Verisk Analytics, Inc.",184.49,NONE
VRSN,"VeriSign, Inc.",268.66,NONE
VRTX,Vertex Pharmaceuticals Incorpor,427.38,NONE
VTR,"Ventas, Inc.",87.86,NONE
VTRS,Viatris Inc.,14.94,NONE
VZ,Verizon Communications Inc.,48.03,NONE
WAB,Westinghouse Air Brake Technolo,269.89,NONE
WAT,Waters Corporation,309.23,NONE
WBD,"Warner Bros. Discovery, Inc. - ",27.05,NONE
WDAY,"Workday, Inc.",122.4,NONE
WDC,Western Digital Corporation,434.52,NONE
WEC,"WEC Energy Group, Inc.",117.94,NONE
WELL,Welltower Inc.,217.34,NONE
WFC,Wells Fargo & Company,82.23,NONE
WHR,Whirlpool Corporation,56.06,NONE
WM,"Waste Management, Inc.",232.55,NONE
WMB,"Williams Companies, Inc. (The)",76.31,NONE
WMT,Walmart Inc.,131.93,NONE
WRB,W.R. Berkley Corporation,66.83,NONE
WST,"West Pharmaceutical Services, I",297.59,NONE
WTW,Willis Towers Watson Public Lim,256.2,NONE
WY,Weyerhaeuser Company,24.52,NONE
WYNN,"Wynn Resorts, Limited",107.11,NONE
XEL,Xcel Energy Inc.,82.95,NONE
XOM,Exxon Mobil Corporation,154.33,NONE
XRAY,DENTSPLY SIRONA Inc.,11.75,NONE
XYL,Xylem Inc.,118.16,NONE
YUM,"Yum! Brands, Inc.",159.65,NONE
ZBH,"Zimmer Biomet Holdings, Inc.",82.43,NONE
ZBRA,Zebra Technologies Corporation,226.26,NONE
ZION,Zions Bancorporation N.A.,63.42,NONE
ZTS,Zoetis Inc.,114.97,NONE
